,county,year,Avg_Tempmin_anomaly,Avg_Tempmax_anomaly
105,109,1912,-0.1722222222222154,-0.6388888888888786
106,125,1912,-0.1055555555555463,-0.99444444444444
107,540,1912,-0.5111111111111049,-0.8055555555555394
108,3,1913,0.8055555555555625,0.1444444444444457
109,65,1913,0.5944444444444512,0.3833333333333435
110,79,1913,0.5055555555555626,0.49444444444444713
111,109,1913,0.9388888888888953,0.4722222222222321
112,125,1913,1.0055555555555644,0.11666666666667425
113,540,1913,0.6000000000000059,-0.2499999999999858
114,3,1914,-0.30555555555554825,-0.4111111111111079
115,65,1914,-0.5166666666666595,-0.17222222222221006
116,79,1914,-0.605555555555549,-0.6166666666666671
117,109,1914,-0.1722222222222154,-0.6388888888888786
118,125,1914,-0.1055555555555463,-0.4388888888888829
119,540,1914,-0.5111111111111049,-0.8055555555555394
120,3,1915,-0.30555555555554825,-0.4111111111111079
121,65,1915,0.038888888888895856,-0.7277777777777672
122,79,1915,-0.049999999999993605,-0.6166666666666671
123,109,1915,-0.1722222222222154,-0.6388888888888786
124,125,1915,-0.1055555555555463,-0.4388888888888829
125,540,1915,0.044444444444450504,-0.8055555555555394
126,3,1916,-0.30555555555554825,-0.4111111111111079
127,65,1916,0.038888888888895856,-0.17222222222221006
128,79,1916,-0.049999999999993605,-0.061111111111110006
129,109,1916,-0.1722222222222154,-0.08333333333332149
130,125,1916,-0.1055555555555463,-0.4388888888888829
131,540,1916,-0.5111111111111049,-0.2499999999999858
132,3,1917,-1.4166666666666599,-1.5222222222222221
133,65,1917,-1.0722222222222157,-1.838888888888878
134,79,1917,-1.1611111111111043,-1.7277777777777779
135,109,1917,-0.7277777777777716,-1.7499999999999893
136,125,1917,-1.216666666666658,-1.5499999999999936
137,540,1917,-1.066666666666661,-1.9166666666666536
138,3,1918,-0.30555555555554825,-0.4111111111111079
139,65,1918,0.038888888888895856,-0.17222222222221006
140,79,1918,-0.049999999999993605,-0.061111111111110006
141,109,1918,-0.1722222222222154,-0.08333333333332149
142,125,1918,-0.1055555555555463,-0.4388888888888829
143,540,1918,-0.5111111111111049,-0.2499999999999858
144,3,1919,0.2500000000000071,0.1444444444444457
145,65,1919,0.5944444444444512,0.3833333333333435
146,79,1919,0.5055555555555626,-0.061111111111110006
147,109,1919,0.38333333333333997,-0.08333333333332149
148,125,1919,0.45000000000000906,0.11666666666667425
149,540,1919,0.044444444444450504,-0.2499999999999858
150,3,1920,-0.30555555555554825,-0.966666666666665
151,65,1920,-0.5166666666666595,-1.2833333333333208
152,79,1920,-0.605555555555549,-1.1722222222222207
153,109,1920,-0.1722222222222154,-1.1944444444444322
154,125,1920,-0.6611111111111025,-0.99444444444444
155,540,1920,-0.5111111111111049,-1.3611111111110965
156,3,1921,1.3611111111111187,1.2555555555555564
157,65,1921,1.1500000000000075,1.4944444444444542
158,79,1921,1.061111111111118,1.6055555555555578
159,109,1921,1.4944444444444516,1.5833333333333428
160,125,1921,1.0055555555555644,1.227777777777785
161,540,1921,1.155555555555562,1.416666666666682
162,3,1922,0.8055555555555625,0.1444444444444457
163,65,1922,0.5944444444444512,-0.17222222222221006
164,79,1922,0.5055555555555626,-0.061111111111110006
165,109,1922,0.38333333333333997,-0.08333333333332149
166,125,1922,1.0055555555555644,0.11666666666667425
167,540,1922,0.6000000000000059,-0.2499999999999858
168,3,1923,0.2500000000000071,0.1444444444444457
169,65,1923,0.038888888888895856,-0.17222222222221006
170,79,1923,-0.049999999999993605,-0.061111111111110006
171,109,1923,-0.1722222222222154,-0.08333333333332149
172,125,1923,-0.1055555555555463,0.11666666666667425
173,540,1923,0.044444444444450504,-0.2499999999999858
174,3,1924,-0.8611111111111045,-1.5222222222222221
175,65,1924,-1.0722222222222157,-1.2833333333333208
176,79,1924,-1.1611111111111043,-1.1722222222222207
177,109,1924,-0.7277777777777716,-1.1944444444444322
178,125,1924,-0.6611111111111025,-0.99444444444444
179,540,1924,-1.066666666666661,-1.3611111111110965
180,3,1925,0.2500000000000071,0.1444444444444457
181,65,1925,0.038888888888895856,0.3833333333333435
182,79,1925,-0.049999999999993605,-0.061111111111110006
183,109,1925,0.38333333333333997,-0.08333333333332149
184,125,1925,-0.1055555555555463,0.11666666666667425
185,540,1925,0.044444444444450504,0.30555555555557135
186,3,1926,-0.30555555555554825,-0.966666666666665
187,65,1926,-0.5166666666666595,-0.7277777777777672
188,79,1926,-0.605555555555549,-0.6166666666666671
189,109,1926,-0.7277777777777716,-1.1944444444444322
190,125,1926,-0.1055555555555463,-0.99444444444444
191,540,1926,-0.5111111111111049,-0.8055555555555394
192,3,1927,0.2500000000000071,-0.4111111111111079
193,65,1927,0.5944444444444512,-0.17222222222221006
194,79,1927,0.5055555555555626,-0.061111111111110006
195,109,1927,0.38333333333333997,-0.08333333333332149
196,125,1927,0.45000000000000906,-0.4388888888888829
197,540,1927,0.044444444444450504,-0.2499999999999858
198,3,1928,-0.30555555555554825,-0.4111111111111079
199,65,1928,0.038888888888895856,-0.7277777777777672
200,79,1928,-0.049999999999993605,-0.6166666666666671
201,109,1928,-0.1722222222222154,-0.6388888888888786
202,125,1928,-0.1055555555555463,-0.99444444444444
203,540,1928,-0.5111111111111049,-0.8055555555555394
204,3,1929,-0.30555555555554825,-0.4111111111111079
205,65,1929,0.038888888888895856,-0.17222222222221006
206,79,1929,-0.049999999999993605,-0.061111111111110006
207,109,1929,-0.1722222222222154,-0.08333333333332149
208,125,1929,-0.1055555555555463,-0.4388888888888829
209,540,1929,-0.5111111111111049,-0.2499999999999858
210,3,1930,0.2500000000000071,0.7000000000000028
211,65,1930,0.038888888888895856,0.9388888888889007
212,79,1930,-0.049999999999993605,1.0500000000000007
213,109,1930,-0.1722222222222154,1.0277777777777892
214,125,1930,-0.1055555555555463,0.6722222222222278
215,540,1930,0.044444444444450504,0.8611111111111249
216,3,1931,0.8055555555555625,0.7000000000000028
217,65,1931,0.5944444444444512,0.9388888888889007
218,79,1931,1.061111111111118,1.0500000000000007
219,109,1931,0.9388888888888953,1.0277777777777892
220,125,1931,1.0055555555555644,0.6722222222222278
221,540,1931,1.155555555555562,0.8611111111111249
222,3,1932,0.2500000000000071,0.7000000000000028
223,65,1932,0.5944444444444512,0.9388888888889007
224,79,1932,0.5055555555555626,1.0500000000000007
225,109,1932,0.38333333333333997,1.0277777777777892
226,125,1932,0.45000000000000906,0.6722222222222278
