,county,year,Avg_Tempmin,Avg_Tempmax
287,79,1928,42.0,63.0
288,79,1929,42.0,64.0
289,79,1930,42.0,66.0
290,79,1931,44.0,66.0
291,79,1932,43.0,66.0
292,79,1933,44.0,65.0
293,79,1934,42.0,64.0
294,79,1935,42.0,63.0
295,79,1936,42.0,64.0
296,79,1937,42.0,63.0
297,79,1938,43.0,65.0
298,79,1939,43.0,65.0
299,79,1940,40.0,62.0
300,79,1941,42.0,66.0
301,79,1942,42.0,64.0
302,79,1943,41.0,65.0
303,79,1944,42.0,64.0
304,79,1945,42.0,65.0
305,79,1946,43.0,66.0
306,79,1947,42.0,64.0
307,79,1948,42.0,64.0
308,79,1949,44.0,66.0
309,79,1950,42.0,64.0
310,79,1951,42.0,65.0
311,79,1952,43.0,65.0
312,79,1953,43.0,67.0
313,79,1954,42.0,66.0
314,79,1955,42.0,65.0
315,79,1956,42.0,64.0
316,79,1957,43.0,65.0
317,79,1958,41.0,62.0
318,79,1959,43.0,66.0
319,79,1960,41.0,63.0
320,79,1961,42.0,63.0
321,79,1962,41.0,63.0
322,79,1963,39.0,64.0
323,79,1964,41.0,65.0
324,79,1965,41.0,65.0
325,79,1966,40.0,63.0
326,79,1967,40.0,63.0
327,79,1968,41.0,64.0
328,79,1969,41.0,63.0
329,79,1970,42.0,64.0
330,79,1971,42.0,64.0
331,79,1972,42.0,63.0
332,79,1973,43.0,65.0
333,79,1974,42.0,65.0
334,79,1975,43.0,64.0
335,79,1976,40.0,64.0
336,79,1977,42.0,64.0
337,79,1978,41.0,63.0
338,79,1979,42.0,63.0
339,79,1980,42.0,64.0
340,79,1981,41.0,63.0
341,79,1982,42.0,64.0
342,79,1983,42.0,64.0
343,79,1984,43.0,64.0
344,79,1985,43.0,65.0
345,79,1986,43.0,65.0
346,79,1987,43.0,65.0
347,79,1988,41.0,65.0
348,79,1989,42.0,63.0
349,79,1990,45.0,67.0
350,79,1991,44.0,67.0
351,79,1992,43.0,63.0
352,79,1993,43.0,64.0
353,79,1994,43.0,65.0
354,79,1995,43.0,64.0
355,79,1996,42.0,63.0
356,79,1997,42.0,64.0
357,79,1998,45.0,67.0
358,79,1999,43.0,67.0
359,79,2000,43.0,65.0
360,79,2001,43.0,66.0
361,79,2002,44.0,66.0
362,79,2003,43.0,63.0
363,79,2004,44.0,65.0
364,79,2005,44.0,65.0
365,79,2006,44.0,67.0
366,79,2007,44.0,66.0
367,79,2008,43.0,65.0
368,79,2009,43.0,64.0
369,79,2010,44.0,66.0
370,79,2011,45.0,66.0
371,79,2012,46.0,67.0
372,79,2013,43.0,63.0
373,79,2014,42.0,63.0
374,79,2015,44.0,65.0
375,79,2016,45.0,66.0
376,79,2017,46.0,67.0
377,79,2018,46.0,65.0
378,79,2019,46.0,67.0
379,79,2020,46.0,67.0
380,79,2021,,
381,109,1895,41.0,66.0
382,109,1896,43.0,67.0
383,109,1897,43.0,68.0
384,109,1898,44.0,68.0
385,109,1899,43.0,67.0
386,109,1900,45.0,69.0
387,109,1901,43.0,65.0
388,109,1902,43.0,66.0
389,109,1903,42.0,66.0
390,109,1904,40.0,64.0
391,109,1905,42.0,66.0
392,109,1906,44.0,66.0
393,109,1907,42.0,65.0
394,109,1908,43.0,67.0
395,109,1909,43.0,67.0
396,109,1910,43.0,66.0
397,109,1911,44.0,68.0
398,109,1912,43.0,66.0
399,109,1913,45.0,68.0
400,109,1914,43.0,66.0
401,109,1915,43.0,66.0
402,109,1916,43.0,67.0
403,109,1917,42.0,64.0
404,109,1918,43.0,67.0
405,109,1919,44.0,67.0
406,109,1920,43.0,65.0
407,109,1921,46.0,70.0
408,109,1922,44.0,67.0
409,109,1923,43.0,67.0
410,109,1924,42.0,65.0
411,109,1925,44.0,67.0
412,109,1926,42.0,65.0
413,109,1927,44.0,67.0
414,109,1928,43.0,66.0
415,109,1929,43.0,67.0
416,109,1930,43.0,69.0
417,109,1931,45.0,69.0
418,109,1932,44.0,69.0
419,109,1933,45.0,68.0
420,109,1934,44.0,67.0
421,109,1935,43.0,66.0
422,109,1936,43.0,67.0
423,109,1937,44.0,66.0
424,109,1938,45.0,68.0
425,109,1939,44.0,69.0
426,109,1940,42.0,65.0
427,109,1941,43.0,69.0
428,109,1942,44.0,67.0
429,109,1943,43.0,69.0
430,109,1944,43.0,68.0
431,109,1945,44.0,68.0
432,109,1946,44.0,69.0
433,109,1947,43.0,67.0
434,109,1948,44.0,67.0
435,109,1949,45.0,69.0
436,109,1950,43.0,67.0
437,109,1951,43.0,68.0
438,109,1952,44.0,68.0
439,109,1953,44.0,70.0
440,109,1954,43.0,69.0
441,109,1955,43.0,68.0
442,109,1956,44.0,68.0
443,109,1957,44.0,68.0
444,109,1958,42.0,65.0
445,109,1959,44.0,69.0
446,109,1960,42.0,66.0
447,109,1961,43.0,66.0
448,109,1962,42.0,65.0
449,109,1963,41.0,67.0
450,109,1964,43.0,68.0
451,109,1965,43.0,67.0
452,109,1966,41.0,66.0
453,109,1967,41.0,66.0
454,109,1968,42.0,67.0
455,109,1969,42.0,66.0
456,109,1970,43.0,68.0
457,109,1971,44.0,67.0
458,109,1972,43.0,66.0
459,109,1973,44.0,68.0
460,109,1974,44.0,68.0
461,109,1975,44.0,67.0
462,109,1976,42.0,67.0
463,109,1977,43.0,68.0
464,109,1978,42.0,66.0
465,109,1979,43.0,66.0
466,109,1980,43.0,67.0
467,109,1981,42.0,67.0
468,109,1982,44.0,67.0
469,109,1983,44.0,67.0
470,109,1984,44.0,67.0
471,109,1985,45.0,68.0
472,109,1986,44.0,68.0
473,109,1987,44.0,68.0
474,109,1988,42.0,67.0
475,109,1989,43.0,66.0
476,109,1990,46.0,70.0
477,109,1991,45.0,70.0
478,109,1992,43.0,66.0
479,109,1993,43.0,67.0
480,109,1994,44.0,68.0
481,109,1995,44.0,67.0
482,109,1996,43.0,66.0
483,109,1997,43.0,67.0
484,109,1998,46.0,70.0
485,109,1999,44.0,69.0
486,109,2000,43.0,67.0
487,109,2001,44.0,69.0
488,109,2002,45.0,69.0
489,109,2003,44.0,66.0
490,109,2004,45.0,67.0
491,109,2005,45.0,68.0
492,109,2006,45.0,69.0
493,109,2007,45.0,69.0
494,109,2008,45.0,68.0
495,109,2009,44.0,67.0
496,109,2010,45.0,69.0
497,109,2011,46.0,69.0
498,109,2012,46.0,70.0
499,109,2013,45.0,67.0
500,109,2014,43.0,66.0
501,109,2015,46.0,68.0
502,109,2016,46.0,69.0
503,109,2017,46.0,69.0
504,109,2018,46.0,68.0
505,109,2019,47.0,69.0
506,109,2020,47.0,69.0
507,109,2021,,
508,125,1895,41.0,63.0
509,125,1896,45.0,65.0
510,125,1897,44.0,65.0
511,125,1898,45.0,65.0
512,125,1899,43.0,64.0
513,125,1900,45.0,66.0
514,125,1901,43.0,63.0
515,125,1902,43.0,64.0
516,125,1903,43.0,63.0
517,125,1904,41.0,62.0
518,125,1905,43.0,63.0
519,125,1906,44.0,64.0
520,125,1907,42.0,63.0
521,125,1908,43.0,64.0
522,125,1909,43.0,64.0
523,125,1910,43.0,63.0
524,125,1911,44.0,65.0
525,125,1912,43.0,63.0
526,125,1913,45.0,65.0
527,125,1914,43.0,64.0
528,125,1915,43.0,64.0
529,125,1916,43.0,64.0
530,125,1917,41.0,62.0
531,125,1918,43.0,64.0
532,125,1919,44.0,65.0
533,125,1920,42.0,63.0
534,125,1921,45.0,67.0
535,125,1922,45.0,65.0
536,125,1923,43.0,65.0
537,125,1924,42.0,63.0
538,125,1925,43.0,65.0
539,125,1926,43.0,63.0
540,125,1927,44.0,64.0
541,125,1928,43.0,63.0
542,125,1929,43.0,64.0
543,125,1930,43.0,66.0
544,125,1931,45.0,66.0
545,125,1932,44.0,66.0
546,125,1933,44.0,66.0
547,125,1934,43.0,65.0
548,125,1935,43.0,64.0
549,125,1936,43.0,65.0
550,125,1937,43.0,64.0
551,125,1938,44.0,66.0
552,125,1939,44.0,66.0
553,125,1940,41.0,63.0
554,125,1941,43.0,67.0
555,125,1942,43.0,65.0
556,125,1943,42.0,66.0
557,125,1944,43.0,65.0
558,125,1945,43.0,66.0
559,125,1946,44.0,66.0
560,125,1947,42.0,64.0
561,125,1948,43.0,65.0
562,125,1949,45.0,67.0
563,125,1950,43.0,64.0
564,125,1951,43.0,66.0
565,125,1952,44.0,66.0
566,125,1953,44.0,68.0
567,125,1954,43.0,67.0
568,125,1955,43.0,66.0
569,125,1956,44.0,66.0
570,125,1957,44.0,65.0
571,125,1958,41.0,63.0
572,125,1959,44.0,66.0
573,125,1960,42.0,64.0
574,125,1961,43.0,64.0
575,125,1962,42.0,63.0
576,125,1963,40.0,65.0
577,125,1964,43.0,65.0
578,125,1965,43.0,65.0
579,125,1966,42.0,64.0
580,125,1967,41.0,64.0
581,125,1968,42.0,64.0
582,125,1969,42.0,63.0
583,125,1970,43.0,65.0
584,125,1971,44.0,65.0
585,125,1972,43.0,64.0
586,125,1973,45.0,65.0
587,125,1974,44.0,66.0
588,125,1975,44.0,65.0
589,125,1976,42.0,65.0
590,125,1977,43.0,65.0
591,125,1978,42.0,64.0
592,125,1979,43.0,63.0
593,125,1980,43.0,65.0
594,125,1981,42.0,64.0
595,125,1982,43.0,64.0
596,125,1983,43.0,65.0
597,125,1984,44.0,65.0
598,125,1985,44.0,65.0
599,125,1986,44.0,66.0
600,125,1987,44.0,66.0
601,125,1988,42.0,65.0
602,125,1989,43.0,64.0
603,125,1990,45.0,68.0
604,125,1991,45.0,68.0
605,125,1992,44.0,64.0
606,125,1993,44.0,65.0
607,125,1994,44.0,66.0
608,125,1995,43.0,65.0
609,125,1996,43.0,64.0
610,125,1997,43.0,65.0
611,125,1998,46.0,68.0
612,125,1999,44.0,67.0
613,125,2000,43.0,65.0
614,125,2001,44.0,67.0
615,125,2002,45.0,67.0
616,125,2003,44.0,64.0
617,125,2004,45.0,65.0
618,125,2005,45.0,66.0
619,125,2006,45.0,67.0
620,125,2007,45.0,67.0
621,125,2008,44.0,66.0
622,125,2009,44.0,64.0
623,125,2010,44.0,66.0
624,125,2011,46.0,67.0
625,125,2012,46.0,68.0
626,125,2013,44.0,64.0
627,125,2014,43.0,64.0
628,125,2015,46.0,66.0
629,125,2016,46.0,67.0
630,125,2017,46.0,67.0
631,125,2018,46.0,65.0
632,125,2019,46.0,67.0
633,125,2020,47.0,67.0
634,125,2021,,
635,540,1895,42.0,64.0
636,540,1896,45.0,66.0
637,540,1897,45.0,67.0
638,540,1898,46.0,66.0
639,540,1899,44.0,65.0
640,540,1900,46.0,68.0
641,540,1901,43.0,64.0
642,540,1902,44.0,65.0
643,540,1903,43.0,65.0
644,540,1904,42.0,64.0
645,540,1905,43.0,64.0
646,540,1906,45.0,65.0
647,540,1907,42.0,65.0
648,540,1908,44.0,65.0
649,540,1909,44.0,66.0
650,540,1910,44.0,65.0
651,540,1911,45.0,67.0
652,540,1912,43.0,65.0
653,540,1913,45.0,66.0
654,540,1914,43.0,65.0
655,540,1915,44.0,65.0
656,540,1916,43.0,66.0
657,540,1917,42.0,63.0
658,540,1918,43.0,66.0
659,540,1919,44.0,66.0
660,540,1920,43.0,64.0
661,540,1921,46.0,69.0
662,540,1922,45.0,66.0
663,540,1923,44.0,66.0
664,540,1924,42.0,64.0
665,540,1925,44.0,67.0
666,540,1926,43.0,65.0
667,540,1927,44.0,66.0
668,540,1928,43.0,65.0
669,540,1929,43.0,66.0
670,540,1930,44.0,68.0
671,540,1931,46.0,68.0
672,540,1932,45.0,68.0
673,540,1933,45.0,68.0
674,540,1934,44.0,66.0
675,540,1935,44.0,65.0
676,540,1936,44.0,66.0
677,540,1937,44.0,66.0
678,540,1938,45.0,68.0
679,540,1939,45.0,68.0
680,540,1940,42.0,64.0
681,540,1941,44.0,69.0
682,540,1942,44.0,67.0
683,540,1943,43.0,68.0
684,540,1944,44.0,67.0
685,540,1945,44.0,67.0
686,540,1946,45.0,68.0
687,540,1947,43.0,66.0
688,540,1948,44.0,66.0
689,540,1949,46.0,68.0
690,540,1950,44.0,66.0
691,540,1951,43.0,67.0
692,540,1952,44.0,68.0
693,540,1953,45.0,70.0
694,540,1954,44.0,69.0
695,540,1955,44.0,68.0
696,540,1956,44.0,67.0
697,540,1957,45.0,67.0
698,540,1958,42.0,65.0
699,540,1959,45.0,68.0
700,540,1960,43.0,66.0
701,540,1961,44.0,66.0
702,540,1962,43.0,65.0
703,540,1963,42.0,67.0
704,540,1964,44.0,67.0
705,540,1965,43.0,67.0
706,540,1966,42.0,66.0
707,540,1967,42.0,66.0
